"dates","NASDAQ 100","S&P 500","Hang Seng Index","FTSE 100","Dow Jones Industrial Average","DAX Performance-Index","Russell 2000","CAC 40","Ibovespa","SSE Composite Index","Nikkei 225"
2000-01-04,3546.199951,1399.420044,17072.820313,6665.899902,10997.929688,6586.950195,478.380005,5672.02002,15851,1406.370972,19002.859375
2000-01-05,3507.310059,1402.109985,15846.719727,6535.899902,11122.650391,6502.069824,478.829987,5479.700195,16245,1409.682007,18542.550781
2000-01-06,3340.810059,1403.449951,15153.230469,6447.200195,11253.259766,6474.919922,475.339996,5450.109863,16107,1463.942017,18168.269531
2000-01-07,3529.600098,1441.469971,15405.629883,6504.799805,11522.55957,6780.959961,488.309998,5539.609863,16309,1516.604004,18193.410156
2000-01-11,3544.350098,1438.560059,15862.099609,6518.899902,11511.080078,6891.25,492.609985,5613.899902,16573,1479.781006,18850.919922
2000-01-12,3478.139893,1432.25,15714.200195,6532.799805,11551.099609,6912.810059,490.040009,5582.5,16617,1438.02002,18677.419922
2000-01-13,3612.080078,1449.680054,15633.959961,6531.5,11582.429688,6955.97998,501.190002,5633.240234,17298,1424.442017,18833.289063
2000-01-14,3704.73999,1465.150024,15542.230469,6658.200195,11722.980469,7173.220215,507.559998,5787.439941,17658,1408.848022,18956.550781
2000-01-18,3757.780029,1455.140015,15789.200195,6504.600098,11560.719727,7072.120117,513.460022,5672.950195,17903,1426.623047,19196.570313
2000-01-19,3790.889893,1455.900024,15275.339844,6445.5,11489.360352,7091.040039,520.02002,5649.459961,17470,1440.723999,18897.75
2000-01-20,3841.73999,1445.569946,15215.30957,6348.700195,11351.299805,7112.660156,527.280029,5709.740234,17177,1466.863037,19008.009766
2000-01-21,3849.959961,1441.359985,15108.410156,6346.299805,11251.709961,6992.75,533.940002,5681.319824,17034,1465.084961,18878.089844
2000-01-24,3660.959961,1401.530029,15167.549805,6379.799805,11008.169922,6931.990234,522.950012,5690.859863,16972,1477.343994,19056.710938
2000-01-26,3621.209961,1404.089966,15427.719727,6375.600098,11032.990234,6969.370117,521.039978,5646.319824,17105,1481.116943,19111.189453
2000-01-27,3593.149902,1398.560059,15917.80957,6441,11028.019531,7126.129883,517.02002,5688.350098,17081,1506.766968,19209.720703
2000-01-28,3446.129883,1360.160034,16185.94043,6375.600098,10738.870117,7066.600098,504.619995,5731.049805,16734,1534.996948,19434.779297
2000-02-14,3986.129883,1389.939941,17188.960938,6068.600098,10519.839844,7644.799805,539.940002,6268.319824,17819,1673.942993,19556.460938
2000-02-15,3997.030029,1402.050049,16688.160156,6005.200195,10718.089844,7396.129883,540.23999,6092.629883,17921,1670.670044,19367.830078
2000-02-16,3997.969971,1387.670044,17043.390625,6147.399902,10561.410156,7490.319824,547.76001,6046.27002,18112,1693.109009,19599.179688
2000-02-17,4125.379883,1388.26001,16981.230469,6209.299805,10514.570313,7580.529785,558.419983,6154.959961,17979,1640.649048,19791.400391
2000-02-18,3965.75,1346.089966,16599.160156,6165,10219.519531,7573.779785,545.679993,6062.720215,17625,1668.090942,19789.029297
2000-02-22,3969.129883,1352.170044,16255.169922,6014.700195,10304.839844,7607.939941,540.950012,5963.310059,17489,1632.293945,19390.580078
2000-02-23,4170.089844,1360.689941,16376.790039,6144.100098,10225.730469,7698.970215,549.909973,6031.25,17833,1594.930054,19519.550781
2000-02-24,4253.049805,1353.430054,17058.660156,6086.700195,10092.629883,7640.529785,554.039978,6078.779785,17776,1634.30896,19571.439453
2000-02-25,4178.580078,1333.359985,17200.980469,6198,9862.120117,7738.680176,556.73999,6188.640137,17787,1631.57605,19817.880859
2000-02-28,4162.129883,1348.050049,16984.439453,6099.600098,10038.650391,7587.129883,557.679993,6102.72998,17543,1704.85498,19720.099609
2000-02-29,4266.939941,1366.420044,17169.439453,6232.600098,10128.30957,7644.549805,577.710022,6190.959961,17660,1714.578003,19959.519531
2000-03-01,4309.009766,1379.189941,16843.589844,6364.899902,10137.929688,7727.930176,588.349976,6256.319824,17953,1704.85498,20081.669922
2000-03-02,4234.259766,1381.76001,16936.810547,6432.100098,10164.919922,7945.77002,584.039978,6477.549805,18016,1713.014038,20065.109375
2000-03-03,4442.870117,1409.170044,17285.240234,6487.5,10367.200195,7960.029785,597.880005,6514.109863,18632,1738.020996,19927.539063
